benchmark,size,selection_scheme,run,timestamp,ilp_time_assignment,status,error
count_102,1024,smart_lp,7,2026-04-21T20:12:27Z,22.599265,ok,
count_102,1024,smart_lp,8,2026-04-21T20:12:50Z,21.259372,ok,
count_102,1024,smart_lp,9,2026-04-21T20:13:12Z,21.288924,ok,
count_102,1024,smart_lp,10,2026-04-21T20:13:34Z,21.572990,ok,
count_102,4096,smart_lp,1,2026-04-21T20:13:56Z,,error,"exit -9: Cgl0004I processed model has 55860 rows, 39886 columns (39886 integer (39886 of which binary)) and 161796 elements | Cbc0038I Solution found of -272.213 | Cbc0038I Before mini branch and bound, 39337 integers at bound fixed and 0 continuous | Cbc0012I Integer solution of -273.77437 found by feasibility pump after 0 iterations and 0 nodes (151.91 seconds) | C"
count_102,4096,smart_lp,2,2026-04-21T20:15:25Z,,error,"exit -9: Cbc0038I Before mini branch and bound, 39337 integers at bound fixed and 0 continuous | Cgl0004I processed model has 55860 rows, 39886 columns (39886 integer (39886 of which binary)) and 161796 elements | Cbc0038I Mini branch and bound did not improve solution (151.41 seconds) | Cbc0038I After 151.53 seconds - Feasibility pump exiting with objective of -272.637 - took 5.08 seconds | Cbc0038I"
count_102,4096,smart_lp,3,2026-04-21T20:16:54Z,,error,"exit -9: Cbc0038I Mini branch and bound did not improve solution (152.18 seconds) | Cbc0038I After 152.18 seconds - Feasibility pump exiting with objective of -272.637 - took 3.74 seconds | Cgl0004I processed model has 55860 rows, 39886 columns (39886 integer (39886 of which binary)) and 161796 elements | Cbc0012I Integer solution of -272.63675 found by feasibility pump after 0 iterations and 0 nodes (152.55 seconds) | Cgl0004I processed mode"
count_102,4096,smart_lp,4,2026-04-21T20:18:24Z,,error,"exit -9: Cbc0038I Initial state - 0 integers unsatisfied sum - 0 | Cgl0004I processed model has 55948 rows, 39941 columns (39941 integer (39941 of which binary)) and 162049 elements | Cgl0004I processed model has 56728 rows, 39548 columns (39548 integer (39548 of which binary)) and 164450 elements | Continuous objective value is -290.962 - 151.57 seconds | Cbc0038I Initial state - 0 integers unsatisfied"
count_102,4096,smart_lp,5,2026-04-21T20:19:51Z,,error,exit -9: command line - Cbc_C_Interface -solve -quit (default strategy 1) | Welcome to the CBC MILP Solver | Version: 2.10.11 | Build Date: Jan 21 2024 | command line - Cbc_C_Interface -solve -quit (default strategy 1)
count_102,4096,smart_lp,6,2026-04-21T20:21:17Z,,error,"exit -9: Continuous objective value is -290.962 - 148.21 seconds | Cbc0012I Integer solution of -272.2135 found by feasibility pump after 0 iterations and 0 nodes (149.13 seconds) | Continuous objective value is -288.309 - 146.80 seconds | Cbc0001I Search completed - best objective -276.7234847729136, took 0 iterations and 0 nodes (148.98 seconds) | Cbc0035I Ma"
count_102,4096,smart_lp,7,2026-04-21T20:22:45Z,,error,"exit -9: Cgl0004I processed model has 56728 rows, 39548 columns (39548 integer (39548 of which binary)) and 164450 elements | Cgl0004I processed model has 55213 rows, 40398 columns (40398 integer (40398 of which binary)) and 159782 elements | Cbc0038I Before mini branch and bound, 39337 integers at bound fixed and 0 continuous | Cbc0012I Integer solution of -273.77437 found by feasibility pump after 0 iterations and 0 nodes (149.69 seconds) | Cbc0038I Mini branch and bound did n"
count_102,4096,smart_lp,8,2026-04-21T20:24:14Z,,error,exit -9: command line - Cbc_C_Interface -solve -quit (default strategy 1) | Welcome to the CBC MILP Solver | Version: 2.10.11 | Build Date: Jan 21 2024 | command line - Cbc_C_Interface -solve -quit (default strategy 1)
count_102,4096,smart_lp,9,2026-04-21T20:25:41Z,,error,"exit -9: Cbc0038I Initial state - 0 integers unsatisfied sum - 0 | Cgl0004I processed model has 55948 rows, 39941 columns (39941 integer (39941 of which binary)) and 162049 elements | Cbc0038I Solution found of -272.213 | Cgl0004I processed model has 55860 rows, 39886 columns (39886 integer (39886 of which binary)) and 161796 elements | Cgl0004I"
count_102,4096,smart_lp,10,2026-04-21T20:27:09Z,,error,exit -9: Cbc0038I Solution found of -273.774 | Cbc0038I Mini branch and bound did not improve solution (151.11 seconds) | Cbc0038I After 151.11 seconds - Feasibility pump exiting with objective of -276.723 - took 4.82 seconds | Cbc0038I Solution found of -276.01 | Cbc0012I Integer solution of -276.72348 found by feasibility pump
count_10s,1024,smart_lp,1,2026-04-21T20:28:35Z,29.229355,ok,
count_10s,1024,smart_lp,2,2026-04-21T20:29:06Z,26.539017,ok,
count_10s,1024,smart_lp,3,2026-04-21T20:29:33Z,27.802928,ok,
count_10s,1024,smart_lp,4,2026-04-21T20:30:02Z,28.710587,ok,
count_10s,1024,smart_lp,5,2026-04-21T20:30:31Z,29.031087,ok,
count_10s,1024,smart_lp,6,2026-04-21T20:31:01Z,28.500250,ok,
count_10s,1024,smart_lp,7,2026-04-21T20:31:30Z,28.674105,ok,
count_10s,1024,smart_lp,8,2026-04-21T20:32:00Z,27.634971,ok,
count_10s,1024,smart_lp,9,2026-04-21T20:32:28Z,27.976899,ok,
count_10s,1024,smart_lp,10,2026-04-21T20:32:57Z,28.269734,ok,
